Judul,Link,Link_PDF,Status,Keterangan_Status,Tipe Dokumen,Tahun Terbit,Nomor Peraturan,Bidang Hukum,Tempat Penetapan,Tanggal Penetapan / Pengundangan,Singkatan Jenis / Bentuk Peraturan,Sumber,Bahasa,Nama Pengarang,Tipe Pengarang,Jenis Pengarang,Kata Kunci,Tipe Kata Kunci,Jenis Kata Kunci,Isi UU
"Keputusan Menteri ESDM No. 2498 K/84/MEM/2008 Tentang Penetapan Daerah Penghasil Dan Dasar Penghitungan Bagian Daerah Penghasil Pertambangan Umum, Minyak Bumi Dan Gas Bumi Untuk Tahun 2009",https://jdih.esdm.go.id/index.php/web/result/991/detail,https://jdih.esdm.go.id/storage/document/kepmen 2498 k_84_2008.pdf,,,Peraturan Perundang-undangan,2008,,Mineral dan Batubara,JAKARTA,2008-10-30,KEPMEN ESDM,LL KESDM BN RI 2008 : 13 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Daerah Penghasil Dan Dasar Penghitungan Bagian Daerah Penghasil Pertambangan Umum, Minyak Bumi Dan Gas Bumi Untuk Tahun 2009"
"Keputusan Menteri ESDM No. 2473 K/30/MEM/2008 Tentang Penetapan Wilayah Kerja Pertambangan Panas Bumi di Daerah Hu'u Daha, Kabupaten Dompu, Provinsi Nusa Tenggara Barat",https://jdih.esdm.go.id/index.php/web/result/990/detail,https://jdih.esdm.go.id/storage/document/kepmen 2473 k_30_2008.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-10-22,KEPMEN ESDM,LL KESDM BN RI 2008 : 5 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Pertambangan Panas Bumi di Daerah Hu'u Daha, Kabupaten Dompu, Provinsi Nusa Tenggara Barat"
"Keputusan Menteri ESDM No. 2472 K/30/MEM/2008 Tentang Penetapan Wilayah Kerja Pertambangan Panas Bumi di Blawan-Ijen, Kabupaten Bondowoso, Kabupaten Banyuwangi dan Kabupaten Situbondo, Provinsi Jawa Timur",https://jdih.esdm.go.id/index.php/web/result/989/detail,https://jdih.esdm.go.id/storage/document/kepmen 2472 k_30_2008.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-10-22,KEPMEN ESDM,LL KESDM BN RI 2008 :  5 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Pertambangan Panas Bumi di Blawan-Ijen, Kabupaten Bondowoso, Kabupaten Banyuwangi dan Kabupaten Situbondo, Provinsi Jawa Timur"
"Keputusan Menteri ESDM No. 2471 K/30/MEM/2008 Tentang Penetapan Wilayah Kerja Pertambangan Panas Bumi di Daerah Gunung Talang, Kabupaten Solok, Provinsi Sumatera Barat",https://jdih.esdm.go.id/index.php/web/result/988/detail,https://jdih.esdm.go.id/storage/document/kepmen 2471 k_30_2008.pdf,Dicabut;,"Dicabut Keputusan Menteri ESDM No. 2777 K/30/MEM/2014 Tentang Penetapan Wilayah Kerja Pertambangan Panas Bumi Di Daerah Gunung Talang-Bukit Kili Kabupaten Solok, Provinsi Sumatera Barat Catatan : Dicabut oleh Kepmen ESDM No. 2777 K/30/MEM/2014"";",Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-10-22,KEPMEN ESDM,LL KESDM BN RI 2008 : 4 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Pertambangan Panas Bumi di Daerah Gunung Talang, Kabupaten Solok, Provinsi Sumatera Barat"
Keputusan Menteri ESDM No. 2470 K/73/MEM/2008 Tentang Gugus Tugas Penghematan Energi Dan Air Departemen Energi Dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/987/detail,https://jdih.esdm.go.id/storage/document/Kepmen-ESDM-2470-2008.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-10-22,KEPMEN ESDM,LL KESDM BN RI 2008 : 6 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Gugus Tugas Penghematan Energi Dan Air Departemen Energi Dan Sumber Daya Mineral
Keputusan Menteri ESDM No. 2288 K/07/MEM/2008 Tentang Perubahan Atas Keputusan Menteri Energi Dan Sumber Daya Mineral Nomor 1762 K/07/Mem/2007 Tentang Pengamanan Obyek Vital Nasional Di Sektor Energi Dan Sumber Daya Mineral,https://jdih.esdm.go.id/index.php/web/result/986/detail,https://jdih.esdm.go.id/storage/document/kepmen esdm 2288 2008.pdf,Keputusan;Mengubah,"Keputusan Menteri ESDM No. 1762 K/07/MEM/2007 Tentang Pengamanan Obyek Vital Nasional Di Sektor Energi Dan Sumber Daya Mineral Catatan : Mengubah Kepmen ESDM No. 1762 K/07/MEM/2007 yang Mencabut Kepmen ESDM No. 1610 K/02/MEM/2004"";; Mengubah Keputusan Menteri ESDM No. 1762 K/07/MEM/2007 Tentang Pengamanan Obyek Vital Nasional Di Sektor Energi Dan Sumber Daya Mineral Catatan : Mengubah Kepmen ESDM No. 1762 K/07/MEM/2007 yang Mencabut Kepmen ESDM No. 1610 K/02/MEM/2004"";",Peraturan Perundang-undangan,2008,1762 K/07/Mem/2007,Umum,JAKARTA,2008-08-26,KEPMEN ESDM,LL KESDM BN RI 2008 : 20 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Perubahan Atas Keputusan Menteri Energi Dan Sumber Daya Mineral Nomor 1762 K/07/Mem/2007 Tentang Pengamanan Obyek Vital Nasional Di Sektor Energi Dan Sumber Daya Mineral
"Keputusan Menteri ESDM No. 1840 K/13/MEM/2008 Tentang Penetapan Wilayah Kerja Minyak Dan Gas Bumi, Bentuk Kontrak Kerja Sama Dan Ketentuan Pokok Kerja Sama (Terms And Conditions) Serta Mekanisme Penawaran Wilayah Kerja Pada Penawaran Wilayah Kerja Minyak Dan Gas Bumi Periode I Tahun 2008",https://jdih.esdm.go.id/index.php/web/result/985/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 1840 2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-06-27,KEPMEN ESDM,LL KESDM BN RI 2008 : 33 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Minyak Dan Gas Bumi, Bentuk Kontrak Kerja Sama Dan Ketentuan Pokok Kerja Sama (Terms And Conditions) Serta Mekanisme Penawaran Wilayah Kerja Pada Penawaran Wilayah Kerja Minyak Dan Gas Bumi Periode I Tahun 2008"
"Keputusan Menteri ESDM No. 1834 K/13/MEM/2008 tentang Penetapan Wilayah Kerja Gas Metana Batubara, Bentuk Kontrak Kerja Sama Dan Ketentuan Pokok Kerja Sama (Terms And Conditions) Serta Mekanisme Penawaran Wilayah Kerja Gas Metana Batubara Blok ""Gmb Indragiri Hulu"" Dan Blok ""Gmb Bentian Besar""",https://jdih.esdm.go.id/index.php/web/result/984/detail,https://jdih.esdm.go.id/storage/document/Kepmen-ESDM-1834-2008.pdf,,,Peraturan Perundang-undangan,2008,,Mineral dan Batubara,JAKARTA,2008-06-25,KEPMEN ESDM,LL KESDM BN RI 2008 : 5 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Gas Metana Batubara, Bentuk Kontrak Kerja Sama Dan Ketentuan Pokok Kerja Sama (Terms And Conditions) Serta Mekanisme Penawaran Wilayah Kerja Gas Metana Batubara Blok ""Gmb Indragiri Hulu"" Dan Blok ""Gmb Bentian Besar"""
Keputusan Menteri ESDM No. 1788 K/70/MEM/2008 Tentang Pelimpahan Sebagian Wewenang Menteri Energi Dan Sumber Daya Mineral kepada Direktur Jenderal Minyak Dan Gas Bumi Pada Penyediaan Dan Pendistribusian LPG Tabung 3 Kg,https://jdih.esdm.go.id/index.php/web/result/983/detail,https://jdih.esdm.go.id/storage/document/Kepmen-ESDM-1788-2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-06-10,KEPMEN ESDM,LL KESDM BN RI 2008 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Pelimpahan Sebagian Wewenang Menteri Energi Dan Sumber Daya Mineral kepada Direktur Jenderal Minyak Dan Gas Bumi Pada Penyediaan Dan Pendistribusian LPG Tabung 3 Kg
Keputusan Menteri ESDM No. 1764 K/12/MEM/2008 Tentang Harga Patokan Jenis Bahan Bakar Minyak Tertentu Tahun Anggaran 2008,https://jdih.esdm.go.id/index.php/web/result/982/detail,https://jdih.esdm.go.id/storage/document/kepmen esdm 1764 2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-05-29,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Harga Patokan Jenis Bahan Bakar Minyak Tertentu Tahun Anggaran 2008
"Keputusan Menteri ESDM No. 1737 K/13/MEM/2008 Tentang Penetapan Badan Usaha Atau Bentuk Usaha Tetap Untuk Mengusahakan Gas Metana Batubara di Wiliyah Kerja Gas Metana Batubara Blok ""GMB Sekayu""",https://jdih.esdm.go.id/index.php/web/result/981/detail,https://jdih.esdm.go.id/storage/document/kepmen esdm 1737 2008.pdf,,,Peraturan Perundang-undangan,2008,,Mineral dan Batubara,JAKARTA,2008-05-23,KEPMEN ESDM,LL KESDM BN RI 2008 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Badan Usaha Atau Bentuk Usaha Tetap Untuk Mengusahakan Gas Metana Batubara di Wiliyah Kerja Gas Metana Batubara Blok ""GMB Sekayu"""
"Keputusan Menteri ESDM No. 1736 K/13/MEM/2008 Tentang Penetapan Wilayah Kerja Gas Metana Batubara, Bentuk Kontrak Kerjasama dan Ketentuan Pokok Kerjasama (Term and Condition) Serta Mekanisme Penawaran Wilayah Kerja Gas Metana Batubara Dalam Penawaran Wilayah Kerja Blok ""GMB Sekayu"" Tahun 2008",https://jdih.esdm.go.id/index.php/web/result/980/detail,https://jdih.esdm.go.id/storage/document/kepmen esdm 1736 2008.pdf,,,Peraturan Perundang-undangan,2008,,Mineral dan Batubara,JAKARTA,2008-05-23,KEPMEN ESDM,LL KESDM BN RI 2008 : 6 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Wilayah Kerja Gas Metana Batubara, Bentuk Kontrak Kerjasama dan Ketentuan Pokok Kerjasama (Term and Condition) Serta Mekanisme Penawaran Wilayah Kerja Gas Metana Batubara Dalam Penawaran Wilayah Kerja Blok ""GMB Sekayu"" Tahun 2008"
Keputusan Menteri ESDM No. 1661 K/12/MEM/2008 Tentang Harga Patokan Liquefied Petroleum Gas tabung 3 Kilogram Tahun Angaran 2008,https://jdih.esdm.go.id/index.php/web/result/979/detail,https://jdih.esdm.go.id/storage/document/kepmen esdm 1661 2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-05-02,KEPMEN ESDM,LL KESDM BN RI 2008 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Harga Patokan Liquefied Petroleum Gas tabung 3 Kilogram Tahun Angaran 2008
Keputusan Menteri ESDM No. 1568 K/10/MEM/2008 tentang Izin Usaha Niaga Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero),https://jdih.esdm.go.id/index.php/web/result/978/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 1568 2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-04-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 21 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Niaga Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero)
Keputusan Menteri ESDM No. 1567 K/10/MEM/2008 tentang Izin Usaha Penyimpanan Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero),https://jdih.esdm.go.id/index.php/web/result/977/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 1567 2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-04-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 15 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Penyimpanan Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero)
Keputusan Menteri ESDM No. 1566 K/10/MEM/2008 Tentang Izin Usaha Pengolahan Minyak Bumi Dan Gas Bumi Kepada PT Pertamina (Persero),https://jdih.esdm.go.id/index.php/web/result/976/detail,https://jdih.esdm.go.id/storage/document/Kepmen-ESDM-1566-2008.pdf,,,Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-04-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 6 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Pengolahan Minyak Bumi Dan Gas Bumi Kepada PT Pertamina (Persero)
Keputusan Menteri ESDM No. 1565 K/10/MEM/2008 Tentang Izin Usaha Pengangkutan Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero),https://jdih.esdm.go.id/index.php/web/result/975/detail,https://jdih.esdm.go.id/storage/document/Kepmen-ESDM-1565-2008.pdf,Keputusan;Diubah,"Keputusan Menteri ESDM No. 0019 K/10/MEM/2009 Tentang Perubahan Atas Keputusan Menteri Energi Dan Sumber Daya Mineral Nomor 1565 K/10/MEM/2008 Tentang Izin Usaha Pengangkutan Minyak Bumi Dan Gas Bumi Kepada PT Pertamina (Persero) Catatan : Mengubah Kepmen ESDM No. 1565 K/10/MEM/2008"";; Diubah Keputusan Menteri ESDM No. 0019 K/10/MEM/2009 Tentang Perubahan Atas Keputusan Menteri Energi Dan Sumber Daya Mineral Nomor 1565 K/10/MEM/2008 Tentang Izin Usaha Pengangkutan Minyak Bumi Dan Gas Bumi Kepada PT Pertamina (Persero) Catatan : Diubah oleh Kepmen ESDM No. 0019 K/10/MEM/2008"";",Peraturan Perundang-undangan,2008,,Minyak dan Gas Bumi,JAKARTA,2008-04-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 8 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Pengangkutan Minyak Bumi dan Gas Bumi Kepada PT Pertamina (Persero)
Keputusan Menteri ESDM No. 0158 K/73/MEM/2008 tentang Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Dinas Yang Membidangi Energi Dan Sumber Daya Mineral Pada Propinsi Riau,https://jdih.esdm.go.id/index.php/web/result/974/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0158 2008.pdf,,,Peraturan Perundang-undangan,2008,,Umum,JAKARTA,2008-02-05,KEPMEN ESDM,LL KESDM BN RI 2008 : 4 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Dinas Yang Membidangi Energi Dan Sumber Daya Mineral Pada Propinsi Riau
"Keputusan Menteri ESDM No. 0157 K/73/MEM/2008 tentang Tim Kajian Penerapan Sistem ""Hedging"" Dalam Penjualan Minyak Indonesia",https://jdih.esdm.go.id/index.php/web/result/973/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0157 2008.pdf,,,Peraturan Perundang-undangan,2008,,Umum,JAKARTA,2008-02-05,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Tim Kajian Penerapan Sistem ""Hedging"" Dalam Penjualan Minyak Indonesia"
"Keputusan Menteri ESDM No. 0131 K/30/MEM/2008 tentang Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Kalianda, Kabupaten Lampung Selatan, Provinsi Lampung",https://jdih.esdm.go.id/index.php/web/result/972/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0131 2007.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-02-01,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Kalianda, Kabupaten Lampung Selatan, Provinsi Lampung"
"Keputusan Menteri ESDM No. 0130 K/30/MEM/2008 tentang Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Pematang Belirang, Kabupaten Lampung Selatan, Provinsi Lampung",https://jdih.esdm.go.id/index.php/web/result/971/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0130 2007.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-02-01,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Pematang Belirang, Kabupaten Lampung Selatan, Provinsi Lampung"
"Keputusan Menteri ESDM No. 0129 K/30/MEM/2008 tentang Penugasan Survei Pendahuluan Panas Bumi Kepada PT Trinergy Di Daerah Baturaden, Kabupaten Brebes, Provinsi Jawa Tengah",https://jdih.esdm.go.id/index.php/web/result/970/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0129 2007.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-02-01,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penugasan Survei Pendahuluan Panas Bumi Kepada PT Trinergy Di Daerah Baturaden, Kabupaten Brebes, Provinsi Jawa Tengah"
Keputusan Menteri ESDM No. 081 K/73/MEM/2008 tentang Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Badan Pengatur Hilir Minyak Dan Gas Bumi,https://jdih.esdm.go.id/index.php/web/result/969/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0081 2008.pdf,,,Peraturan Perundang-undangan,2008,,Umum,JAKARTA,2008-06-23,KEPMEN ESDM,LL KESDM 2008 : 4 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Badan Pengatur Hilir Minyak Dan Gas Bumi
Keputusan Menteri ESDM No. 069 K/73/MEM/2008 tentang Penggantian Pejabat Kuasa Pengguna Anggaran Barang (KPAKPB) Pada Unit Satuan Kerja Dinas Pertambangan Dan Energi Provinsi Jawa Barat Tahun Anggaran 2008,https://jdih.esdm.go.id/index.php/web/result/968/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0069 2008 .pdf,,,Peraturan Perundang-undangan,2008,,Umum,JAKARTA,2008-01-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Penggantian Pejabat Kuasa Pengguna Anggaran Barang (KPAKPB) Pada Unit Satuan Kerja Dinas Pertambangan Dan Energi Provinsi Jawa Barat Tahun Anggaran 2008
"Keputusan Menteri ESDM No. 068 K/73/MEM/2008 tentang Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Dinas Yang Membidangi Energi Dan Sumber Daya Mineral Pada Provinsi DKI Jakarta, Kalimantan Barat, Dan Provinsi Papua",https://jdih.esdm.go.id/index.php/web/result/967/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0068 2008.pdf,,,Peraturan Perundang-undangan,2008,,Umum,JAKARTA,2008-01-21,KEPMEN ESDM,LL KESDM BN RI 2008 : 4 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Di Lingkungan Dinas Yang Membidangi Energi Dan Sumber Daya Mineral Pada Provinsi DKI Jakarta, Kalimantan Barat, Dan Provinsi Papua"
"Keputusan Menteri ESDM No. 067 K/73/MEM/2008 Pengangkatan Pengelola Anggaran Pendapatan Dan Belanja Negara Departemen Energi Dan Sumber Daya Mineral Tahun Anggaran 2008 Dilingkungan Dinas Yang Membidangi Energi Dan Sumber Daya Mineral Pada Provinsi Daerah Istimewa Yogyakarta, Provinsi Kepulauan Riau, Provinsi Jambi, Dan Provinsi Kalimantan Selatan",https://jdih.esdm.go.id/index.php/web/result/966/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0067 2008.pdf,,,Peraturan Perundang-undangan,2008,,Energi Baru Terbarukan dan Konservasi Energi,JAKARTA,2008-01-21,KEPMEN ESDM,LL KESDM  BN RI 2008 : 5 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,
"Keputusan Menteri ESDM No. 0128 K/30/MEM/2008 tentang Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Muara Laboh, Kabupaten Solok Selatan, Provinsi Sumatera Barat",https://jdih.esdm.go.id/index.php/web/result/965/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0128 2007.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-02-01,KEPMEN ESDM,LL ESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penugasan Survei Pendahuluan Panas Bumi Kepada PT Supreme Energy Di Daerah Muara Laboh, Kabupaten Solok Selatan, Provinsi Sumatera Barat"
"Keputusan Menteri ESDM No. 0127 K/30/MEM/2008 tentang Penugasan Survei Pendahuluan Panas Bumi Kepada PT Spring Energy Sentosa Di Daerah Guci, Kabupaten Tegal, Provinsi Jawa Tengah",https://jdih.esdm.go.id/index.php/web/result/964/detail,https://jdih.esdm.go.id/storage/document/Kepmen ESDM 0127 2007.pdf,,,Peraturan Perundang-undangan,2008,,Geologi,JAKARTA,2008-02-01,KEPMEN ESDM,LL KESDM BN RI 2008 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penugasan Survei Pendahuluan Panas Bumi Kepada PT Spring Energy Sentosa Di Daerah Guci, Kabupaten Tegal, Provinsi Jawa Tengah"
Keputusan Menteri ESDM No. 331-12 /20/600.3/2007 Tentang Perpanjangan Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT General Energy Bali,https://jdih.esdm.go.id/index.php/web/result/963/detail,https://jdih.esdm.go.id/storage/document/IUKU-331-12 20-600-3-2007.pdf,,,Peraturan Perundang-undangan,2007,,Ketenagalistrikan,JAKARTA,2007-07-06,KEPMEN ESDM,LL KESDM BN RI 2007 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Perpanjangan Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT General Energy Bali
Keputusan Menteri ESDM No. 311-12 /20/600.3/2007 tentang Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT Cirebon Elektric Power,https://jdih.esdm.go.id/index.php/web/result/962/detail,https://jdih.esdm.go.id/storage/document/IUKU-311-12 20-600-3-2007.pdf,,,Peraturan Perundang-undangan,2007,,Ketenagalistrikan,JAKARTA,2007-06-27,KEPMEN ESDM,LL KESDM BN RI 2007 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT Cirebon Elektric Power
Keputusan Menteri ESDM No. 163-12 /20/600.3/2007 Tentang Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT Mega Power Mandiri,https://jdih.esdm.go.id/index.php/web/result/961/detail,https://jdih.esdm.go.id/storage/document/IUKU-163-12 20-600-3-2007.pdf,,,Peraturan Perundang-undangan,2007,,Ketenagalistrikan,JAKARTA,2007-03-20,KEPMEN ESDM,LL KESDM BN RI 2007 : 2 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Izin Usaha Ketenagalistrikan Untuk Kepentigan Umum Sementara PT Mega Power Mandiri
Keputusan Menteri ESDM No. 3175 K/10/MEM/2007 Tentang Penugasan PT.Pertamina (Persero) dan Penetapan Daerah Tertentu Dalam Penyediaan dan Pendistribusian Liquefied Petroleum Gas Tabung 3 Kilogram Tahun 2007,https://jdih.esdm.go.id/index.php/web/result/960/detail,https://jdih.esdm.go.id/storage/document/kepmen-esdm-3175-k-10-mem-2007.pdf,,,Peraturan Perundang-undangan,2007,,Minyak dan Gas Bumi,JAKARTA,2007-12-27,KEPMEN ESDM,LL KESDM BN RI 2007 : 7 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Penugasan PT.Pertamina (Persero) dan Penetapan Daerah Tertentu Dalam Penyediaan dan Pendistribusian Liquefied Petroleum Gas Tabung 3 Kilogram Tahun 2007
Keputusan Menteri ESDM No. 3174 K/12/MEM/2007 Tentang Harga Patokan dan Harga Jual Eceran Liquefied Petroleum Gas Tabung 3 Kilogram Tahun Anggaran 2007,https://jdih.esdm.go.id/index.php/web/result/959/detail,https://jdih.esdm.go.id/storage/document/kepmen-esdm-3174-k-12-mem-2007.pdf,,,Peraturan Perundang-undangan,2007,,Minyak dan Gas Bumi,JAKARTA,2007-12-27,KEPMEN ESDM,LL KESDM BN RI 2007 : 3 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Harga Patokan dan Harga Jual Eceran Liquefied Petroleum Gas Tabung 3 Kilogram Tahun Anggaran 2007
"Keputusan Menteri ESDM No. 2821 K/80/MEM/2007 Tentang Penetapan Daerah Penghasil Dan Dasar Penghitungan Bagian Daerah Penghasil Pertambangan Umum, Minyak Bumi Dan Gas Bumi. Tahun 2008",https://jdih.esdm.go.id/index.php/web/result/958/detail,https://jdih.esdm.go.id/storage/document/kepmen-esdm-2821-k-80-mem-2007.pdf,,,Peraturan Perundang-undangan,2007,,Umum,JAKARTA,2007-10-29,KEPMEN ESDM,LL KESDM BN RI 2007 : 11 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,"Penetapan Daerah Penghasil Dan Dasar Penghitungan Bagian Daerah Penghasil Pertambangan Umum, Minyak Bumi Dan Gas Bumi. Tahun 2008"
Keputusan Menteri ESDM No. 1937 K/30/MEM/2007 Tentang Penetapan Wilayah Kerja Pertambangan Panas Bumi Di Daerah Cisolok Cisukarame Kabupaten Sukabumi Provinsi Jawa Barat,https://jdih.esdm.go.id/index.php/web/result/957/detail,https://jdih.esdm.go.id/storage/document/kepmen-esdm-1937 THN 2007.pdf,,,Peraturan Perundang-undangan,2007,,Umum,JAKARTA,2007-07-09,KEPMEN ESDM,LL KESDM BN RI 2008 : 4 HLM,Indonesia,Data tidak tersedia,,,Data tidak tersedia,,,Penetapan Wilayah Kerja Pertambangan Panas Bumi Di Daerah Cisolok Cisukarame Kabupaten Sukabumi Provinsi Jawa Barat
